account,followers,following,followratio,toots
@charlesarthur@newsie.social,1059,295,3.58,408
@davidtoddmccarty@me.dm,3306,924,3.57,1533
@eloquence@social.coop,5485,1542,3.55,3071
@filipw@mathstodon.xyz,1041,297,3.5,595
@danmcquillan@kolektiva.social,855,245,3.48,346
@ctietze@mastodon.social,881,275,3.2,2643
@djnicholl@mastodonapp.uk,985,318,3.09,115
@rickmans@nerdculture.de,1298,432,3,1562
@raesene@infosec.exchange,764,255,2.99,256
@rklau@sfba.social,1527,511,2.98,156
@UrsEnzler@tooting.ch,259,87,2.97,485
@clive@saturation.social,10495,3556,2.95,4863
@testobsessed@ruby.social,1389,485,2.86,415
@markmoxon@universeodon.com,307,107,2.86,156
@sf105@mastodonapp.uk,398,139,2.86,228
@jopo_dr@critcare.social,732,259,2.82,192
@p_malin@mastodon.gamedev.place,568,201,2.82,112
@liztai@hachyderm.io,1592,574,2.77,4515
@CGLambdin@mastodon.social,216,78,2.76,1047
@ben@mastodon.adida.net,1510,555,2.72,769
@james@bne.social,532,195,2.72,274
@ewen@photog.social,1100,422,2.6,1199
@ldodds@mastodon.me.uk,501,192,2.6,718
@crschmidt@better.boston,1099,430,2.55,913
@fetzert@econtwitter.net,2520,1043,2.41,1498
@futzle@old.mermaid.town,1443,619,2.33,1788
@chriscorrigan@mstdn.ca,295,128,2.3,367
@danclarke@mstdn.social,242,105,2.3,110
@jimcarroll@futurist.info,1651,716,2.3,2241
@gin@scicomm.xyz,425,184,2.3,218
@SuneAuken@mastodon.world,2684,1169,2.29,2854
@kegill@mastodon.social,449,201,2.23,560
@judeswae@toot.thoughtworks.com,912,439,2.07,3528
@jzb@mastodon.social,549,267,2.05,462
@vic@mstdn.social,325,158,2.05,677
@susherwood@mastodon.social,1858,910,2.04,397
@emilybache@sw-development-is.social,842,413,2.03,241
